时间,一次网供水温度(℃),一次网供水压力(Mpa),一次网回水温度(℃),一次网回水压力(Mpa),东区二次网供水温度(℃),东区二次网供水压力(Mpa),东区二次网回水温度(℃),东区二次网回水压力(Mpa),西区二次网供水温度(℃),西区二次网供水压力(Mpa),西区二次网回水温度(℃),西区二次网回水压力(Mpa),南区二次网供水温度(℃),南区二次网供水压力(Mpa),南区二次网回水温度(℃),南区二次网回水压力(Mpa),北区二次网供水温度(℃),北区二次网供水压力(Mpa),北区二次网回水温度(℃),北区二次网回水压力(Mpa),高区二次网供水温度(℃),高区二次网供水压力(Mpa),高区二次网回水温度(℃),高区二次网回水压力(Mpa),室外温度实际值,气温2m(℃),降水量(mm),降雪量(mm),地表温度(℃),露点温度(℃),相对湿度(%),最大阵风(上一小时内，m/s),"总太阳辐射度(down,J/m2)"
2024年11月02日11时30分00秒,69.78 ,0.52 ,31.86 ,0.21 ,35.65 ,0.64 ,27.86 ,0.48 ,35.08 ,0.51 ,30.95 ,0.37 ,38.59 ,0.44 ,34.25 ,0.30 ,37.34 ,0.56 ,33.21 ,0.36 ,32.49 ,0.70 ,28.16 ,0.62 ,8.68 ,9.34,0,0,15.65,4.49,71.68,5.79,1814784
2024年11月02日11时45分00秒,69.03 ,0.52 ,31.94 ,0.21 ,35.23 ,0.65 ,28.36 ,0.49 ,35.44 ,0.51 ,31.12 ,0.37 ,38.49 ,0.43 ,34.18 ,0.29 ,37.32 ,0.56 ,33.31 ,0.36 ,32.95 ,0.71 ,28.75 ,0.63 ,9.13 ,9.34,0,0,15.65,4.49,71.68,5.79,1814784
2024年11月02日12时00分00秒,68.91 ,0.57 ,32.30 ,0.21 ,35.42 ,0.61 ,29.14 ,0.45 ,35.58 ,0.51 ,31.27 ,0.38 ,38.53 ,0.43 ,34.04 ,0.29 ,37.66 ,0.56 ,33.37 ,0.36 ,31.33 ,0.72 ,29.59 ,0.64 ,9.50 ,9.59,0,0,17.66,3.67,66.54,6.33,2086528
2024年11月02日12时15分00秒,70.50 ,0.61 ,32.74 ,0.21 ,34.79 ,0.62 ,29.90 ,0.46 ,35.96 ,0.51 ,31.43 ,0.38 ,38.86 ,0.44 ,34.03 ,0.30 ,38.09 ,0.56 ,33.46 ,0.36 ,31.24 ,0.73 ,29.92 ,0.65 ,10.09 ,9.59,0,0,17.66,3.67,66.54,6.33,2086528
2024年11月02日12时30分00秒,71.48 ,0.60 ,33.11 ,0.21 ,35.28 ,0.62 ,30.37 ,0.47 ,36.12 ,0.51 ,31.61 ,0.37 ,38.98 ,0.44 ,34.03 ,0.30 ,38.36 ,0.56 ,33.60 ,0.36 ,31.51 ,0.71 ,29.97 ,0.63 ,10.19 ,9.59,0,0,17.66,3.67,66.54,6.33,2086528
2024年11月02日12时45分00秒,70.67 ,0.64 ,33.29 ,0.21 ,35.70 ,0.63 ,30.68 ,0.47 ,35.61 ,0.51 ,31.91 ,0.38 ,39.10 ,0.44 ,34.07 ,0.29 ,37.21 ,0.56 ,33.65 ,0.36 ,31.87 ,0.69 ,29.69 ,0.61 ,10.33 ,9.59,0,0,17.66,3.67,66.54,6.33,2086528
2024年11月02日13时00分00秒,68.09 ,0.64 ,33.80 ,0.21 ,35.11 ,0.64 ,30.87 ,0.47 ,35.87 ,0.51 ,32.15 ,0.38 ,38.91 ,0.44 ,34.20 ,0.30 ,36.99 ,0.56 ,33.69 ,0.36 ,31.76 ,0.69 ,29.74 ,0.61 ,10.49 ,12.76,0,0,18.37,3.84,54.59,6.7,2136512
2024年11月02日13时15分00秒,68.05 ,0.64 ,33.45 ,0.21 ,35.20 ,0.64 ,31.00 ,0.48 ,35.55 ,0.52 ,32.17 ,0.38 ,38.98 ,0.44 ,34.29 ,0.29 ,36.97 ,0.56 ,33.67 ,0.36 ,31.86 ,0.70 ,29.73 ,0.61 ,10.68 ,12.76,0,0,18.37,3.84,54.59,6.7,2136512
2024年11月02日13时30分00秒,67.45 ,0.64 ,33.68 ,0.21 ,34.36 ,0.65 ,31.06 ,0.49 ,35.29 ,0.51 ,32.15 ,0.37 ,38.98 ,0.44 ,34.40 ,0.29 ,36.84 ,0.55 ,33.59 ,0.35 ,31.77 ,0.70 ,29.65 ,0.62 ,10.69 ,12.76,0,0,18.37,3.84,54.59,6.7,2136512
2024年11月02日13时45分00秒,67.79 ,0.63 ,33.59 ,0.20 ,35.23 ,0.62 ,31.08 ,0.47 ,35.30 ,0.51 ,32.13 ,0.37 ,38.98 ,0.44 ,34.41 ,0.29 ,36.71 ,0.56 ,33.43 ,0.36 ,31.66 ,0.71 ,29.58 ,0.63 ,10.95 ,12.76,0,0,18.37,3.84,54.59,6.7,2136512
2024年11月02日14时00分00秒,66.99 ,0.66 ,33.42 ,0.20 ,35.19 ,0.61 ,31.06 ,0.46 ,34.24 ,0.50 ,32.06 ,0.37 ,38.95 ,0.43 ,34.43 ,0.30 ,36.58 ,0.56 ,33.30 ,0.36 ,31.53 ,0.72 ,29.56 ,0.64 ,11.07 ,12.85,0,0,18.18,3.83,54.2,6.67,1958208
2024年11月02日14时15分00秒,66.80 ,0.65 ,33.40 ,0.20 ,35.17 ,0.62 ,31.06 ,0.47 ,34.24 ,0.51 ,31.93 ,0.38 ,38.99 ,0.44 ,34.44 ,0.29 ,36.22 ,0.56 ,33.21 ,0.36 ,30.95 ,0.72 ,29.52 ,0.64 ,11.15 ,12.85,0,0,18.18,3.83,54.2,6.67,1958208
2024年11月02日14时30分00秒,66.74 ,0.65 ,33.11 ,0.20 ,35.20 ,0.63 ,31.06 ,0.47 ,33.56 ,0.51 ,31.64 ,0.37 ,39.01 ,0.43 ,34.47 ,0.29 ,36.41 ,0.56 ,33.12 ,0.36 ,31.05 ,0.71 ,29.51 ,0.63 ,11.30 ,12.85,0,0,18.18,3.83,54.2,6.67,1958208
2024年11月02日14时45分00秒,66.75 ,0.63 ,32.97 ,0.20 ,35.15 ,0.64 ,31.08 ,0.48 ,33.78 ,0.50 ,31.37 ,0.36 ,38.95 ,0.43 ,34.46 ,0.29 ,36.72 ,0.56 ,33.03 ,0.36 ,31.57 ,0.69 ,29.51 ,0.61 ,11.48 ,12.85,0,0,18.18,3.83,54.2,6.67,1958208
2024年11月02日15时00分00秒,65.16 ,0.65 ,32.77 ,0.20 ,34.86 ,0.64 ,31.08 ,0.48 ,34.08 ,0.50 ,31.10 ,0.36 ,38.73 ,0.43 ,34.45 ,0.29 ,36.58 ,0.56 ,33.03 ,0.36 ,31.46 ,0.69 ,29.49 ,0.61 ,11.09 ,13.2,0,0,16.81,3.9,53.22,5.94,1569088
2024年11月02日15时15分00秒,65.27 ,0.64 ,32.70 ,0.20 ,34.08 ,0.65 ,31.09 ,0.49 ,33.88 ,0.51 ,30.95 ,0.38 ,38.70 ,0.43 ,34.45 ,0.29 ,36.53 ,0.56 ,32.96 ,0.36 ,31.41 ,0.70 ,29.46 ,0.61 ,11.20 ,13.2,0,0,16.81,3.9,53.22,5.94,1569088
2024年11月02日15时30分00秒,66.64 ,0.65 ,32.84 ,0.20 ,35.05 ,0.64 ,31.06 ,0.48 ,34.05 ,0.51 ,30.91 ,0.37 ,38.85 ,0.47 ,34.40 ,0.33 ,36.53 ,0.57 ,32.99 ,0.37 ,31.45 ,0.70 ,29.42 ,0.62 ,11.14 ,13.2,0,0,16.81,3.9,53.22,5.94,1569088
2024年11月02日15时45分00秒,65.64 ,0.63 ,33.43 ,0.20 ,34.88 ,0.61 ,31.00 ,0.45 ,34.27 ,0.51 ,30.83 ,0.37 ,38.57 ,0.47 ,34.31 ,0.33 ,36.57 ,0.56 ,32.98 ,0.36 ,31.30 ,0.71 ,29.35 ,0.63 ,11.13 ,13.2,0,0,16.81,3.9,53.22,5.94,1569088
2024年11月02日16时00分00秒,65.56 ,0.64 ,33.41 ,0.21 ,34.85 ,0.62 ,30.96 ,0.46 ,34.26 ,0.51 ,30.82 ,0.37 ,38.45 ,0.47 ,34.12 ,0.33 ,36.34 ,0.56 ,32.99 ,0.36 ,31.18 ,0.72 ,29.30 ,0.63 ,10.88 ,13.29,0,0,14.37,4.25,54.25,4.76,1024768
2024年11月02日16时15分00秒,64.89 ,0.65 ,33.33 ,0.21 ,34.74 ,0.62 ,30.93 ,0.47 ,34.82 ,0.51 ,30.95 ,0.37 ,38.37 ,0.46 ,34.07 ,0.32 ,36.52 ,0.56 ,32.99 ,0.36 ,30.62 ,0.72 ,29.26 ,0.64 ,10.81 ,13.29,0,0,14.37,4.25,54.25,4.76,1024768
2024年11月02日16时30分00秒,65.05 ,0.65 ,32.88 ,0.21 ,34.75 ,0.63 ,30.89 ,0.47 ,34.98 ,0.51 ,31.07 ,0.37 ,38.35 ,0.46 ,34.03 ,0.32 ,36.52 ,0.56 ,32.96 ,0.36 ,30.54 ,0.73 ,29.22 ,0.65 ,10.46 ,13.29,0,0,14.37,4.25,54.25,4.76,1024768
2024年11月02日16时45分00秒,64.65 ,0.73 ,33.14 ,0.22 ,34.90 ,0.63 ,30.85 ,0.48 ,35.04 ,0.51 ,31.16 ,0.38 ,38.44 ,0.46 ,33.97 ,0.32 ,36.77 ,0.56 ,32.95 ,0.35 ,30.64 ,0.71 ,29.18 ,0.63 ,10.33 ,13.29,0,0,14.37,4.25,54.25,4.76,1024768
2024年11月02日17时00分00秒,65.88 ,0.71 ,33.09 ,0.21 ,35.02 ,0.64 ,30.80 ,0.48 ,34.94 ,0.50 ,31.20 ,0.36 ,38.57 ,0.45 ,33.90 ,0.31 ,36.96 ,0.57 ,32.99 ,0.37 ,31.28 ,0.69 ,29.15 ,0.61 ,10.15 ,12.19,0,0,9.37,4.92,61.11,3.49,420608
2024年11月02日17时15分00秒,66.78 ,0.69 ,33.25 ,0.20 ,34.76 ,0.65 ,30.78 ,0.49 ,35.23 ,0.51 ,31.30 ,0.38 ,38.64 ,0.46 ,33.87 ,0.31 ,37.17 ,0.55 ,32.99 ,0.35 ,31.30 ,0.69 ,29.16 ,0.60 ,9.90 ,12.19,0,0,9.37,4.92,61.11,3.49,420608
2024年11月02日17时30分00秒,66.29 ,0.69 ,33.39 ,0.20 ,34.99 ,0.63 ,30.80 ,0.48 ,35.08 ,0.51 ,31.42 ,0.37 ,38.56 ,0.45 ,33.89 ,0.31 ,37.14 ,0.56 ,33.04 ,0.36 ,31.31 ,0.69 ,29.19 ,0.61 ,9.31 ,12.19,0,0,9.37,4.92,61.11,3.49,420608
2024年11月02日17时45分00秒,66.44 ,0.68 ,33.50 ,0.19 ,35.02 ,0.61 ,30.80 ,0.46 ,35.12 ,0.50 ,31.54 ,0.37 ,38.61 ,0.45 ,33.95 ,0.32 ,37.20 ,0.55 ,33.10 ,0.36 ,31.32 ,0.70 ,29.20 ,0.62 ,8.96 ,12.19,0,0,9.37,4.92,61.11,3.49,420608
2024年11月02日18时00分00秒,66.40 ,0.69 ,33.52 ,0.19 ,35.03 ,0.62 ,30.79 ,0.46 ,35.37 ,0.50 ,31.61 ,0.36 ,38.63 ,0.45 ,33.96 ,0.31 ,37.29 ,0.56 ,33.18 ,0.36 ,31.26 ,0.71 ,29.18 ,0.62 ,8.98 ,7,0,0,4.97,4.05,81.5,4.03,28160
2024年11月02日18时15分00秒,66.18 ,0.69 ,33.16 ,0.20 ,34.97 ,0.62 ,30.79 ,0.47 ,35.73 ,0.51 ,31.68 ,0.37 ,38.60 ,0.45 ,33.96 ,0.31 ,37.27 ,0.56 ,33.24 ,0.35 ,31.19 ,0.71 ,29.14 ,0.63 ,8.68 ,7,0,0,4.97,4.05,81.5,4.03,28160
2024年11月02日18时30分00秒,64.53 ,0.69 ,33.46 ,0.20 ,34.95 ,0.62 ,30.78 ,0.47 ,35.36 ,0.51 ,31.73 ,0.38 ,38.44 ,0.44 ,33.98 ,0.30 ,36.87 ,0.56 ,33.27 ,0.37 ,31.00 ,0.72 ,29.09 ,0.64 ,8.59 ,7,0,0,4.97,4.05,81.5,4.03,28160
2024年11月02日18时45分00秒,63.74 ,0.70 ,33.22 ,0.20 ,34.95 ,0.63 ,30.78 ,0.48 ,35.10 ,0.52 ,31.76 ,0.38 ,38.32 ,0.44 ,33.92 ,0.30 ,37.04 ,0.56 ,33.24 ,0.36 ,30.51 ,0.73 ,29.07 ,0.64 ,8.51 ,7,0,0,4.97,4.05,81.5,4.03,28160
2024年11月02日19时00分00秒,62.60 ,0.69 ,32.87 ,0.20 ,34.71 ,0.63 ,30.78 ,0.48 ,35.02 ,0.50 ,31.75 ,0.36 ,38.08 ,0.44 ,33.88 ,0.30 ,36.85 ,0.56 ,33.22 ,0.36 ,30.39 ,0.72 ,29.05 ,0.64 ,8.36 ,6.84,0,0,3.76,3.94,81.77,3.92,0
2024年11月02日19时15分00秒,63.35 ,0.69 ,32.86 ,0.21 ,34.33 ,0.64 ,30.77 ,0.49 ,35.42 ,0.51 ,31.70 ,0.37 ,38.13 ,0.44 ,33.85 ,0.30 ,36.90 ,0.56 ,33.19 ,0.36 ,30.44 ,0.71 ,29.01 ,0.63 ,8.07 ,6.84,0,0,3.76,3.94,81.77,3.92,0
2024年11月02日19时30分00秒,63.00 ,0.74 ,32.95 ,0.22 ,35.10 ,0.64 ,30.74 ,0.50 ,35.09 ,0.51 ,31.63 ,0.38 ,38.35 ,0.44 ,33.76 ,0.30 ,36.94 ,0.56 ,33.16 ,0.36 ,31.23 ,0.69 ,28.99 ,0.61 ,7.95 ,6.84,0,0,3.76,3.94,81.77,3.92,0
2024年11月02日19时45分00秒,62.99 ,0.74 ,32.92 ,0.22 ,35.50 ,0.64 ,30.73 ,0.48 ,34.85 ,0.51 ,31.59 ,0.36 ,38.29 ,0.44 ,33.67 ,0.29 ,36.93 ,0.56 ,33.13 ,0.35 ,31.24 ,0.69 ,28.99 ,0.61 ,7.75 ,6.84,0,0,3.76,3.94,81.77,3.92,0
2024年11月02日20时00分00秒,63.99 ,0.63 ,33.71 ,0.25 ,36.53 ,0.61 ,30.76 ,0.46 ,35.49 ,0.50 ,31.59 ,0.37 ,40.57 ,0.44 ,33.66 ,0.30 ,39.78 ,0.56 ,33.12 ,0.35 ,35.83 ,0.70 ,29.05 ,0.62 ,7.46 ,7.09,0,0,2.96,3.83,79.75,3.71,0
2024年11月02日20时15分00秒,63.69 ,0.62 ,33.91 ,0.24 ,36.13 ,0.61 ,30.84 ,0.46 ,35.95 ,0.50 ,31.59 ,0.37 ,40.74 ,0.43 ,33.85 ,0.29 ,40.03 ,0.56 ,33.60 ,0.35 ,36.26 ,0.71 ,29.57 ,0.62 ,7.36 ,7.09,0,0,2.96,3.83,79.75,3.71,0
2024年11月02日20时30分00秒,67.31 ,0.62 ,34.19 ,0.24 ,36.81 ,0.62 ,31.02 ,0.47 ,36.46 ,0.51 ,31.72 ,0.37 ,41.69 ,0.44 ,34.15 ,0.30 ,41.11 ,0.56 ,33.94 ,0.37 ,37.70 ,0.72 ,30.67 ,0.63 ,7.14 ,7.09,0,0,2.96,3.83,79.75,3.71,0
2024年11月02日20时45分00秒,68.02 ,0.63 ,34.55 ,0.24 ,37.10 ,0.62 ,31.18 ,0.47 ,37.55 ,0.51 ,31.89 ,0.37 ,42.51 ,0.44 ,34.81 ,0.30 ,41.76 ,0.56 ,34.52 ,0.36 ,36.53 ,0.73 ,32.33 ,0.64 ,6.94 ,7.09,0,0,2.96,3.83,79.75,3.71,0
2024年11月02日21时00分00秒,68.02 ,0.69 ,34.73 ,0.24 ,37.75 ,0.63 ,31.41 ,0.47 ,38.30 ,0.50 ,32.12 ,0.36 ,42.07 ,0.44 ,35.34 ,0.30 ,39.29 ,0.56 ,35.13 ,0.36 ,34.23 ,0.72 ,33.15 ,0.64 ,6.97 ,7.09,0,0,2.4,3.55,78.16,3.55,0
2024年11月02日21时15分00秒,70.92 ,0.70 ,34.88 ,0.24 ,38.37 ,0.64 ,31.61 ,0.48 ,39.47 ,0.50 ,32.62 ,0.36 ,42.84 ,0.45 ,35.91 ,0.30 ,39.59 ,0.57 ,35.25 ,0.36 ,35.25 ,0.70 ,33.71 ,0.62 ,6.82 ,7.09,0,0,2.4,3.55,78.16,3.55,0
2024年11月02日21时30分00秒,72.70 ,0.72 ,35.00 ,0.23 ,37.80 ,0.64 ,31.87 ,0.49 ,38.65 ,0.51 ,33.23 ,0.38 ,42.77 ,0.44 ,36.35 ,0.31 ,40.18 ,0.56 ,35.54 ,0.36 ,35.93 ,0.69 ,33.46 ,0.61 ,6.76 ,7.09,0,0,2.4,3.55,78.16,3.55,0
2024年11月02日21时45分00秒,70.01 ,0.71 ,35.13 ,0.23 ,37.78 ,0.64 ,32.14 ,0.49 ,39.16 ,0.51 ,33.86 ,0.37 ,42.39 ,0.45 ,36.56 ,0.30 ,39.80 ,0.56 ,35.54 ,0.36 ,35.20 ,0.69 ,32.85 ,0.60 ,6.70 ,7.09,0,0,2.4,3.55,78.16,3.55,0
2024年11月02日22时00分00秒,69.57 ,0.71 ,35.40 ,0.22 ,38.01 ,0.61 ,32.36 ,0.45 ,38.87 ,0.50 ,34.28 ,0.37 ,42.42 ,0.44 ,36.64 ,0.30 ,39.64 ,0.57 ,35.38 ,0.36 ,35.07 ,0.69 ,32.78 ,0.61 ,6.63 ,6.9,0,0,1.96,3.33,77.99,3.55,0
2024年11月02日22时15分00秒,69.54 ,0.72 ,35.40 ,0.22 ,38.15 ,0.61 ,32.49 ,0.46 ,38.75 ,0.51 ,34.35 ,0.37 ,42.49 ,0.43 ,36.73 ,0.29 ,39.78 ,0.56 ,35.31 ,0.35 ,34.89 ,0.70 ,32.57 ,0.61 ,6.66 ,6.9,0,0,1.96,3.33,77.99,3.55,0
2024年11月02日22时30分00秒,69.46 ,0.72 ,35.21 ,0.22 ,38.21 ,0.62 ,32.60 ,0.46 ,38.41 ,0.50 ,34.30 ,0.36 ,42.44 ,0.42 ,36.69 ,0.28 ,39.70 ,0.56 ,35.23 ,0.36 ,34.55 ,0.70 ,32.24 ,0.62 ,6.60 ,6.9,0,0,1.96,3.33,77.99,3.55,0
2024年11月02日22时45分00秒,69.14 ,0.72 ,35.25 ,0.22 ,38.26 ,0.63 ,32.69 ,0.47 ,38.50 ,0.51 ,34.19 ,0.37 ,42.39 ,0.46 ,36.69 ,0.32 ,39.34 ,0.57 ,35.18 ,0.36 ,34.31 ,0.71 ,32.02 ,0.63 ,6.28 ,6.9,0,0,1.96,3.33,77.99,3.55,0
2024年11月02日23时00分00秒,68.76 ,0.73 ,35.18 ,0.21 ,38.29 ,0.63 ,32.77 ,0.47 ,37.82 ,0.51 ,34.05 ,0.38 ,42.23 ,0.46 ,36.56 ,0.32 ,39.53 ,0.56 ,35.14 ,0.36 ,34.06 ,0.72 ,31.82 ,0.63 ,6.14 ,4.95,0,0,1.57,2.54,84.4,3.53,0
2024年11月02日23时15分00秒,68.95 ,0.72 ,35.28 ,0.21 ,38.28 ,0.63 ,32.83 ,0.48 ,37.97 ,0.50 ,33.96 ,0.36 ,42.19 ,0.46 ,36.51 ,0.32 ,39.78 ,0.57 ,35.08 ,0.36 ,34.58 ,0.72 ,31.60 ,0.64 ,6.10 ,4.95,0,0,1.57,2.54,84.4,3.53,0
2024年11月02日23时30分00秒,67.61 ,0.72 ,35.33 ,0.21 ,38.00 ,0.64 ,32.89 ,0.48 ,37.68 ,0.51 ,33.87 ,0.38 ,42.03 ,0.46 ,36.53 ,0.32 ,39.65 ,0.56 ,35.10 ,0.36 ,33.96 ,0.73 ,31.48 ,0.65 ,6.10 ,4.95,0,0,1.57,2.54,84.4,3.53,0
2024年11月02日23时45分00秒,70.35 ,0.73 ,35.26 ,0.21 ,38.02 ,0.64 ,32.93 ,0.49 ,38.27 ,0.51 ,33.80 ,0.37 ,42.38 ,0.46 ,36.50 ,0.32 ,39.95 ,0.56 ,35.07 ,0.36 ,34.13 ,0.72 ,31.48 ,0.64 ,5.99 ,4.95,0,0,1.57,2.54,84.4,3.53,0
